id,task1_1,task1_2,task1_3
merge_0001,3,5,4
merge_0001,4,4,4
merge_0001,5,2,3
merge_0004,4,3,4
merge_0004,3,3,4
merge_0004,5,1,5
merge_0004,4,4,5
merge_0004,3,2,4
merge_0004,2,2,3
merge_0007,4,3,4
merge_0007,3,4,4
merge_0007,4,3,4
merge_0007,4,4,4
merge_0007,5,4,4
merge_0007,4,5,4
merge_0007,4,4,4
merge_0007,3,3,4
merge_0007,3,3,4
merge_0013,4,2,4
merge_0013,3,2,4
merge_0013,4,4,4
merge_0013,3,3,3
merge_0013,4,2,2
merge_0013,4,4,4
merge_0018,2,2,3
merge_0018,4,4,4
merge_0018,4,4,4
merge_0021,4,4,3
merge_0021,4,4,4
merge_0021,2,3,4
merge_0024,4,2,2
merge_0024,4,4,3
merge_0024,3,2,3
merge_0025,3,3,3
merge_0025,4,3,4
merge_0025,4,3,4
merge_0027,1,1,1
merge_0027,5,2,3
merge_0027,3,4,1
merge_0028,5,5,5
merge_0028,3,4,3
merge_0028,4,2,3
merge_0029,3,3,3
merge_0029,3,3,3
merge_0029,3,3,4
merge_0032,4,5,4
merge_0032,3,4,3
merge_0032,5,3,4
merge_0033,2,2,4
merge_0033,3,2,3
merge_0033,3,1,2
merge_0033,3,3,4
merge_0033,3,2,3
merge_0033,3,3,4
merge_0033,4,2,5
merge_0033,3,3,3
merge_0035,4,4,4
merge_0035,4,3,4
merge_0035,4,1,5
merge_0042,2,3,4
merge_0042,4,5,5
merge_0042,3,4,3
merge_0047,2,3,4
merge_0047,5,1,5
merge_0047,3,3,3
merge_0047,3,3,2
merge_0050,2,3,2
merge_0050,4,4,3
merge_0050,3,2,4
merge_0053,3,3,4
merge_0053,5,2,2
merge_0053,3,4,5
merge_0054,3,3,3
merge_0054,3,3,4
merge_0054,4,4,3
merge_0055,4,4,4
merge_0055,4,3,4
merge_0055,4,3,4
merge_0061,4,2,3
merge_0061,3,2,2
merge_0061,4,2,3
merge_0063,4,2,4
merge_0063,3,2,4
merge_0063,3,3,4
merge_0063,2,3,3
merge_0063,3,3,3
merge_0063,3,3,3
merge_0063,4,3,4
merge_0063,3,3,4
merge_0063,4,1,3
merge_0065,4,3,4
merge_0065,5,4,4
merge_0065,3,4,3
merge_0066,4,3,4
merge_0066,5,1,4
merge_0066,5,5,5
merge_0069,3,5,3
merge_0069,3,3,4
merge_0069,5,5,5
merge_0069,4,1,5
merge_0069,3,3,3
merge_0069,4,2,3
merge_0077,4,4,4
merge_0077,3,2,3
merge_0077,4,5,4
merge_0077,4,2,4
merge_0077,4,4,3
